Precipitation,Temperature,Radiation,Wind,Relative Humidity
-0.0003038382,-0.0003096619,-0.00030656988,-0.00030124286,-0.00027415034
-0.00028938628,-0.00029094997,-0.00030213772,-0.00030391317,-0.0002840879
-0.00029448015,-0.00029906537,-0.00030699768,-0.0003002367,-0.00027457732
-0.0002991937,-0.00030067266,-0.0002992986,-0.00029924375,-0.00027746786
-0.00031070167,-0.00031126008,-0.0003119767,-0.00030420427,-0.00027881784
-0.00030062182,-0.00030761727,-0.00030784696,-0.00030188067,-0.00027196825
-0.0002719606,-0.00027680089,-0.00027893827,-0.00027487168,-0.00024791548
-0.00029554078,-0.0002966159,-0.0002965021,-0.00029532975,-0.00026282587
-0.00028201722,-0.0002797789,-0.00028876076,-0.0002897208,-0.00027062357
-0.00029863173,-0.00028367466,-0.00028816675,-0.000286023,-0.00026861916
-0.00030988106,-0.00029990263,-0.00030729407,-0.0003156488,-0.00029734854
-0.00032274445,-0.00031254019,-0.00032284847,-0.00032426053,-0.0003224657
-0.00029974827,-0.00028524498,-0.00029600185,-0.00030228245,-0.00030803197
-0.00030834955,-0.00030018878,-0.0002946031,-0.00029146744,-0.0002704162
-0.00028753796,-0.0002886651,-0.00029007622,-0.0002934374,-0.00027405907
-0.0002912457,-0.000285261,-0.00029142966,-0.00029562865,-0.00027605784
-0.00026278695,-0.00025540707,-0.00026130746,-0.00025433264,-0.00023385356
-0.00023204878,-0.00022343443,-0.0002242314,-0.00022513054,-0.00019752288
-0.00022045274,-0.00022609018,-0.00021705862,-0.0002151411,-0.00019089681
-0.0002163145,-0.00021978612,-0.00021799875,-0.00021808421,-0.00019599806
-0.00026497256,-0.00027370482,-0.00027681096,-0.0002747364,-0.00024437043
-0.00025291767,-0.00025120415,-0.00024986058,-0.00024277566,-0.00021138856
-0.00026428708,-0.0002716693,-0.0002700851,-0.00026436368,-0.00023005424
-0.0002790995,-0.00028389718,-0.00028227142,-0.000284331,-0.00025347574
-0.00028018223,-0.0002793332,-0.0002863731,-0.0002880604,-0.00026986844
-0.00030413308,-0.0003067902,-0.00030637646,-0.00030462086,-0.00027623223
-0.00031526806,-0.000322851,-0.00032181854,-0.00031646405,-0.00027969116
-0.00027666896,-0.00027899217,-0.00028329916,-0.0002830289,-0.0002526582
-0.0002651988,-0.0002626164,-0.00026811432,-0.00027059574,-0.00024601273
-0.00028392283,-0.00028868494,-0.00029563435,-0.00029368137,-0.0002659918
